,Name,Presentation Delivery,Verbal Support of Slides,Energy and Connection with Audience
0,Project A1 - Presley Gibbs,3 - Good,4 - Excellent,2 - Fair
1,Project A1 - Keilani Leal,2 - Fair,4 - Excellent,4 - Excellent
2,Project A1 - Ariella Chavez,1 - Poor,4 - Excellent,2 - Fair
3,Project A1 - Rosalyn Howe,4 - Excellent,4 - Excellent,4 - Excellent
4,Project A1 - Ella Valenzuela,3 - Good,3 - Good,3 - Good
5,Project A1 - Catherine Parks,2 - Fair,2 - Fair,2 - Fair
6,Project B1 - Alaric Contreras,1 - Poor,2 - Fair,4 - Excellent
7,Project B1 - Jamari McCormick,1 - Poor,2 - Fair,4 - Excellent
8,Project B1 - Gianni Benitez,,2 - Fair,4 - Excellent
9,Project B1 - Alaric Contreras,3 - Good,4 - Excellent,4 - Excellent
10,Project B1 - Jamari McCormick,3 - Good,2 - Fair,2 - Fair
11,Project B1 - Gianni Benitez,4 - Excellent,3 - Good,2 - Fair
12,Project B1 - Deacon Kirby,4 - Excellent,4 - Excellent,4 - Excellent
13,Project B1 - Cedric Houston,2 - Fair,2 - Fair,2 - Fair
14,Project B1 - lan Bullock,3 - Good,3 - Good,3 - Good
15,Project A1 - Rosalyn Howe,2 - Fair,2 - Fair,2 - Fair
16,Project A1 - Ella Valenzuela,2 - Fair,2 - Fair,2 - Fair
17,Project A1 - Catherine Parks,2 - Fair,2 - Fair,
18,Project A1 - Presley Gibbs,4 - Excellent,4 - Excellent,4 - Excellent
19,Project A1 - Keilani Leal,3 - Good,3 - Good,3 - Good
20,Project A1 - Ariella Chavez,2 - Fair,2 - Fair,2 - Fair
21,Project B1 - Alaric Contreras,4 - Excellent,4 - Excellent,4 - Excellent
22,Project B1 - Jamari McCormick,4 - Excellent,4 - Excellent,4 - Excellent
23,Project B1 - Gianni Benitez,4 - Excellent,4 - Excellent,3 - Good
24,Project B1 - Deacon Kirby,3 - Good,4 - Excellent,3 - Good
25,Project B1 - Cedric Houston,2 - Fair,3 - Good,2 - Fair
26,Project B1 - lan Bullock,1 - Poor,4 - Excellent,3 - Good
27,Project B1 - Deacon Kirby,3 - Good,3 - Good,3 - Good
28,Project B1 - Cedric Houston,3 - Good,3 - Good,3 - Good
29,Project B1 - lan Bullock,1 - Poor,2 - Fair,2 - Fair
